date,total_return_index,equity_return_percent,unit_nav
2011-01-30,100.0,0.0,1.0
2011-02-01,100.1,0.1,1.001
2011-02-11,100.1999999,0.0999,1.002
2011-02-18,100.49999869970058,0.2994,1.005
2011-02-25,100.30000370228818,-0.199,1.003
2011-03-04,101.1999956355088,0.8973,1.012
2011-03-11,100.41093926953873,-0.7797,2.934
2011-03-18,99.48695780638043,-0.9202,2.907
2011-03-24,100.54788672442767,1.0664,2.938
2011-03-25,101.5745811957708,1.0211,2.968
2011-03-28,101.64304246349676,0.0674,2.97
2011-03-29,100.85591874265944,-0.7744,2.947
2011-03-30,100.82172858620568,-0.0339,2.946
2011-03-31,99.93187600970383,-0.8826,2.92
2011-04-01,101.30084277916075,1.3699,2.96
2011-04-06,102.32752682072754,1.0135,2.99
2011-04-07,102.46444105161368,0.1338,2.994
2011-04-08,103.25157288777217,0.7682,3.017
2011-04-11,102.94357344584795,-0.2983,3.008
2011-04-12,102.94357344584795,0.0,3.008
2011-04-13,104.07296739012234,1.0971,3.041
2011-04-14,103.83339141919028,-0.2302,3.034
2011-04-15,103.97024382908076,0.1318,3.038
2011-04-18,104.1755850606432,0.1975,3.044
2011-04-19,102.25906682228255,-1.8397,2.988
2011-04-20,102.49865981584715,0.2343,2.995
2011-04-21,103.18314586609738,0.6678,3.015
2011-04-22,102.70406651984109,-0.4643,3.001
2011-04-25,101.30092356304702,-1.3662,2.96
2011-04-26,100.51381538696214,-0.777,2.937
2011-04-27,100.17156584556953,-0.3405,2.927
2011-04-28,98.76836255120479,-1.4008,2.886
2011-04-29,99.62399287598588,0.8663,2.911
2011-05-03,100.2399680239381,0.6183,2.929
2011-05-04,97.77586912997366,-2.4582,2.857
2011-05-05,97.9469769009511,0.175,2.862
2011-05-06,97.63893365859761,-0.3145,2.853
2011-05-09,97.87853960179581,0.2454,2.86
2011-05-10,98.52874674037054,0.6643,2.879
2011-05-11,98.32341283216361,-0.2084,2.873
2011-05-12,97.0914204693766,-1.253,2.837
2011-05-13,97.98126333797845,0.9165,2.863
2011-05-16,97.26257077139438,-0.7335,2.842
2011-05-17,97.46789205829279,0.2111,2.848
2011-05-18,98.18662029433064,0.7374,2.869
2011-05-19,97.67330064343187,-0.5228,2.854
2011-05-20,97.67330064343187,0.0,2.854
2011-05-23,94.79858005889439,-2.9432,2.77
2011-05-24,94.66169090928935,-0.1444,2.766
2011-05-25,93.77187101474203,-0.94,2.74
2011-05-26,93.63496408306051,-0.146,2.736
2011-05-27,92.8135981781239,-0.8772,2.712
2011-05-30,92.5055498457707,-0.3319,2.703
2011-05-31,93.7717658120596,1.3688,2.74
2011-06-01,93.977125979188,0.219,2.746
2011-06-02,92.57395351119274,-1.4931,2.705
2011-06-03,93.39526962674404,0.8872,2.729
2011-06-07,93.94284609256563,0.5863,2.745
2011-06-08,94.1139160153002,0.1821,2.75
2011-06-09,92.6080933590554,-1.6,2.706
2011-06-10,92.77923311558294,0.1848,2.711
2011-06-13,92.47120606163921,-0.332,2.702
2011-06-14,93.60055690127001,1.2213,2.735
2011-06-15,92.95031383247688,-0.6947,2.716
2011-06-16,91.47872446388111,-1.5832,2.673
2011-06-17,90.72585456154337,-0.823,2.651
2011-06-20,90.17832402926446,-0.6035,2.635
2011-06-21,91.03393596765412,0.9488,2.66
2011-06-22,91.1023934875018,0.0752,2.662
2011-06-23,92.43713465448718,1.4651,2.701
2011-06-24,94.49053316370195,2.2214,2.761
2011-06-27,94.79857230181562,0.326,2.77
2011-06-28,94.76435001721468,-0.0361,2.769
2011-06-29,93.66915842406573,-1.1557,2.737
2011-06-30,94.90118886481746,1.3153,2.773
2011-07-01,95.03803637916052,0.1442,2.777
2011-07-04,96.92035972768616,1.9806,2.832
2011-07-05,96.98878550165392,0.0706,2.834
2011-07-06,96.88607437780767,-0.1059,2.831
2011-07-07,96.44117352426478,-0.4592,2.818
2011-07-08,96.54388337406813,0.1065,2.821
2011-07-11,96.68078260069255,0.1418,2.825
2011-07-12,95.00385442648354,-1.7345,2.776
2011-07-13,96.40696635250828,1.4769,2.817
2011-07-14,96.95455792139052,0.568,2.833
2011-07-15,97.36525742874552,0.4236,2.845
2011-07-18,97.26263444741562,-0.1054,2.842
2011-07-19,96.54396084148367,-0.7389,2.821
2011-07-20,96.40706150501045,-0.1418,2.817
2011-07-21,95.41455080681637,-1.0295,2.788
2011-07-22,95.55147068722415,0.1435,2.792
2011-07-25,92.67670914012834,-3.0086,2.708
2011-07-26,93.29273122578277,0.6647,2.726
2011-07-27,93.97721999478634,0.7337,2.746
2011-07-28,93.56653954340912,-0.437,2.734
2011-07-29,93.32700920217799,-0.256,2.727
2011-08-01,93.36126021455519,0.0367,2.728
2011-08-02,92.50569762594901,-0.9164,2.703
2011-08-03,92.57415184219221,0.074,2.705
2011-08-04,92.7794813109782,0.2218,2.711
2011-08-05,90.76032145920738,-2.1763,2.652
2011-08-08,87.26949797524334,-3.8462,2.55
2011-08-09,87.23528833203704,-0.0392,2.549
2011-08-10,88.02241233865702,0.9023,2.572
2011-08-11,89.22022132576147,1.3608,2.607
2011-08-12,89.5624700947671,0.3836,2.617
2011-08-15,90.7602785698145,1.3374,2.652
2011-08-16,90.14428855916117,-0.6787,2.634
2011-08-17,89.80201069550203,-0.3797,2.624
2011-08-18,88.29621058015985,-1.6768,2.58
2011-08-19,87.50904986283773,-0.8915,2.557
2011-08-22,86.8245540748106,-0.7822,2.537
2011-08-23,88.19351681890815,1.5767,2.577
2011-08-24,87.74858052655676,-0.5045,2.564
2011-08-25,90.38375814834978,3.0031,2.641
2011-08-26,90.28108219909326,-0.1136,2.638
2011-08-29,89.01479974016878,-1.4026,2.601
2011-08-30,88.67253783516783,-0.3845,2.591
2011-08-31,88.63831023556345,-0.0386,2.59
2011-09-01,88.22764894424209,-0.4633,2.578
2011-09-02,87.26940844905867,-1.0861,2.55
2011-09-05,85.55822988818953,-1.9608,2.5
2011-09-06,85.3186668445026,-0.28,2.493
2011-09-07,86.85875409971273,1.8051,2.538
2011-09-08,86.1400847682917,-0.8274,2.517
2011-09-09,86.1058871546387,-0.0397,2.516
2011-09-13,85.18188487958226,-1.0731,2.489
2011-09-14,85.6952760997515,0.6027,2.504
2011-09-15,85.5584207438202,-0.1597,2.5
2011-09-16,85.66109084871279,0.12,2.503
2011-09-19,84.08681132109514,-1.8378,2.457
2011-09-20,84.429044643172,0.407,2.467
2011-09-21,86.72196863759127,2.7158,2.534
2011-09-22,84.36052943158967,-2.723,2.465
2011-09-23,83.9498623743167,-0.4868,2.453
2011-09-26,82.54672437459236,-1.6714,2.412
2011-09-27,83.29963304761301,0.9121,2.434
2011-09-28,82.47829866576355,-0.986,2.41
2011-09-29,81.62275127370359,-1.0373,2.385
2011-09-30,81.48586991981757,-0.1677,2.381
2011-10-10,80.86983674322376,-0.756,2.363
2011-10-11,80.93825262510852,0.0846,2.365
2011-10-12,83.43657366888775,3.0867,2.438
2011-10-13,84.08679488748939,0.7793,2.457
2011-10-14,83.77878495781651,-0.3663,2.448
2011-10-17,84.12102129436919,0.4085,2.458
2011-10-18,82.03338990890683,-2.4817,2.397
2011-10-19,81.82806033396483,-0.2503,2.391
2011-10-20,80.21956615198008,-1.9657,2.344
2011-10-21,79.84309572802884,-0.4693,2.333
2011-10-24,81.75956955478871,2.4003,2.389
2011-10-25,83.09429452777063,1.6325,2.428
2011-10-26,83.77874223179587,0.8237,2.448
2011-10-27,84.01826565583657,0.2859,2.455
2011-10-28,85.31878438992327,1.5479,2.493
2011-10-31,85.01078357827565,-0.361,2.484
2011-11-01,85.14765093983667,0.161,2.488
2011-11-02,86.4481110126408,1.5273,2.526
2011-11-03,86.5165779165628,0.0792,2.528
2011-11-04,87.1668365161837,0.7516,2.547
2011-11-07,86.51657191577296,-0.746,2.528
2011-11-08,86.31126809061684,-0.2373,2.522
2011-11-09,86.99571644657543,0.793,2.542
2011-11-10,85.5583732194451,-1.6522,2.5
2011-11-11,85.52414987015733,-0.04,2.499
2011-11-14,87.1668977408633,1.9208,2.547
2011-11-15,87.1668977408633,0.0,2.547
2011-11-16,84.97656793443089,-2.5128,2.483
2011-11-17,84.77126454630131,-0.2416,2.477
2011-11-18,83.09431939104638,-1.9782,2.428
2011-11-21,83.1285542506355,0.0412,2.429
2011-11-22,83.09430528628424,-0.0412,2.428
2011-11-23,82.40985749364111,-0.8237,2.408
2011-11-24,82.47834008521833,0.0831,2.41
2011-11-25,81.96499489652794,-0.6224,2.395
2011-11-28,82.03343566726653,0.0835,2.397
2011-11-29,83.0943740907513,1.2933,2.428
2011-11-30,80.35649755883513,-3.2949,2.348
2011-12-01,82.17030442173316,2.2572,2.401
2011-12-02,81.34893005873352,-0.9996,2.377
2011-12-05,80.45913546175109,-1.0938,2.351
2011-12-06,80.2538037480527,-0.2552,2.345
2011-12-07,80.56181784683773,0.3838,2.354
2011-12-08,80.45918209090085,-0.1274,2.351
2011-12-09,79.87738174520155,-0.7231,2.334
2011-12-12,79.09027002548433,-0.9854,2.311
2011-12-13,77.58447037446913,-1.9039,2.267
2011-12-14,77.03687918256612,-0.7058,2.251
2011-12-15,75.35994039652003,-2.1768,2.202
2011-12-16,76.83156931258327,1.9528,2.245
2011-12-19,76.59200847946664,-0.3118,2.238
2011-12-20,76.523535223886,-0.0894,2.236
2011-12-21,75.77062016081818,-0.9839,2.214
2011-12-22,75.66795097050027,-0.1355,2.211
2011-12-23,76.28396375935111,0.8141,2.229
2011-12-26,75.77064896721444,-0.6729,2.214
2011-12-27,74.94929513240984,-1.084,2.19
2011-12-28,75.08615254532164,0.1826,2.194
2011-12-29,75.18879531585108,0.1367,2.197
2011-12-30,76.07857951961886,1.1834,2.223
2011-12-31,76.07857951961886,0.0,2.223
2012-01-04,74.98342836743394,-1.4395,2.191
2012-01-05,74.298979633296,-0.9128,2.171
2012-01-06,74.77813375295112,0.6449,2.185
2012-01-09,77.00263367583392,2.9748,2.25
2012-01-10,79.05606290806739,2.6667,2.31
2012-01-11,78.64536666125998,-0.5195,2.298
2012-01-12,78.64536666125998,0.0,2.298
2012-01-13,77.55022993050194,-1.3925,2.266
2012-01-16,76.24971257456743,-1.677,2.228
2012-01-17,79.46668794808842,4.219,2.322
2012-01-18,78.33730737897018,-1.4212,2.289
2012-01-19,79.5009297427774,1.4854,2.323
2012-01-20,80.35651874866917,1.0762,2.348
2012-01-30,79.19295635718844,-1.448,2.314
2012-01-31,79.43251505016893,0.3025,2.321
2012-02-01,78.54271201657693,-1.1202,2.295
2012-02-02,80.01428826891951,1.8736,2.338
2012-02-03,80.56182604354373,0.6843,2.354
2012-02-06,80.56182604354373,0.0,2.354
2012-02-07,79.2955552617913,-1.5718,2.317
2012-02-08,81.17787315259571,2.3738,2.372
2012-02-09,81.17787315259571,0.0,2.372
2012-02-10,81.2121302150661,0.0422,2.373
2012-02-13,81.2121302150661,0.0,2.373
2012-02-14,80.9383641241111,-0.3371,2.365
2012-02-15,81.65701585916909,0.8879,2.386
2012-02-16,81.28057701605832,-0.461,2.375
2012-02-17,81.31479613898208,0.0421,2.376
2012-02-20,81.4858824700585,0.2104,2.381
2012-02-21,81.99924352961986,0.63,2.396
2012-02-22,82.78635426826068,0.9599,2.419
