date,z_score,gold_transfer_positive_toward_gold,gold_cny,money511990_cny,spy_tr,oneq_tr,etf510210_cny,etf510300_cny,gross
2002-09-06,,0.0000000000,0.3477688416,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3595307570
2002-12-05,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2002-12-09,,0.0000000000,0.6930061213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7057705312
2003-03-04,1.3593997269,0.0000000000,0.3637492549,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3753092089
2003-03-10,1.4296684964,0.0000000000,0.3303110819,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3390234888
2003-04-30,-0.0528299436,0.0000000000,0.4202247282,0.0000000000,0.0000013772,0.0000000000,0.0000000000,0.0000000000,0.6092645585
2003-06-09,-0.2279368407,0.0000000000,0.6263309311,0.0000000000,0.0000015944,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-06-27,-1.0779064514,0.0000015944,0.6263325255,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-06-30,-0.8691637127,0.0000000000,0.6263309311,0.0000000000,0.0000015944,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-07-08,-1.1846803537,0.0000015944,0.6263325255,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-07-18,-0.9772965371,0.0000000000,0.6263309311,0.0000000000,0.0000015944,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-07-21,-1.0014995427,0.0000015944,0.6263325255,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-07-22,-0.6886706959,0.0000000000,0.6263309311,0.0000000000,0.0000015944,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-08-19,-0.8035426168,0.0000000000,0.2720835926,0.0000000000,0.3230519336,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2003-09-05,-0.6689998911,0.0000000000,0.1913981974,0.0000000000,0.2481713769,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-10-06,-1.2374943455,0.1098923936,0.3012905909,0.0000000000,0.1382789834,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-10-23,-0.6022478561,0.0000000000,0.1913981974,0.0000000000,0.2481713769,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-11-04,-1.3957076635,0.1098923936,0.3012905909,0.0000000000,0.1382789834,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-11-11,-0.8527458911,0.0000000000,0.1913981974,0.0000000000,0.2481713769,0.0000000000,0.0000000000,0.0000000000,0.8806750506
2003-11-12,-0.7568057915,0.0000000000,0.3158856209,0.0000000000,0.3592005221,0.3249138570,0.0000000000,0.0000000000,1.0000000000
2004-01-16,-1.2453640944,0.2500000000,0.5658856209,0.0000000000,0.2279357318,0.2061786473,0.0000000000,0.0000000000,1.0000000000
2004-01-29,-0.8166553605,0.0000000000,0.3158856209,0.0000000000,0.3592005221,0.3249138570,0.0000000000,0.0000000000,1.0000000000
2004-01-30,-1.4525730250,0.2500000000,0.5658856209,0.0000000000,0.2279357318,0.2061786473,0.0000000000,0.0000000000,1.0000000000
2004-02-05,-1.0598001177,0.1812042463,0.3638325153,0.0000000000,0.2064512405,0.1545332293,0.0000000000,0.0000000000,0.7643000097
2004-02-13,-0.9481246842,0.0000000000,0.1826282690,0.0000000000,0.3100840684,0.2321046477,0.0000000000,0.0000000000,0.7643000097
2004-02-19,-1.0293021014,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2004-04-29,-1.7525312351,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-03,-0.6983779294,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-04,-1.2525474153,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-05,-0.7743170621,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-06,-1.0141311547,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-18,-0.4948377390,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-19,-1.4418068620,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-20,-0.8251504754,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-21,-1.2384797748,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-24,-0.5763321143,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-25,-1.1224326125,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-05-28,-0.8522962325,0.0000000000,0.2212689466,0.0000000000,0.2193765466,0.1810382290,0.0000000000,0.0000000000,0.6216837222
2004-05-31,-1.1064875862,0.1554209305,0.3766898771,0.0000000000,0.1342255754,0.1107682696,0.0000000000,0.0000000000,0.6216837222
2004-06-08,-1.5477478038,0.1420312607,0.2913631610,0.0000000000,0.1525406670,0.1242212149,0.0000000000,0.0000000000,0.5681250428
2004-06-10,-2.2092435651,0.1768490690,0.3168104624,0.0000000000,0.2598260552,0.1307597585,0.0000000000,0.0000000000,0.7073962762
2004-06-21,-0.9938896005,0.0000000000,0.1399613934,0.0000000000,0.3774698466,0.1899650362,0.0000000000,0.0000000000,0.7073962762
2004-06-23,-1.1120181984,0.1768490690,0.3168104624,0.0000000000,0.2598260552,0.1307597585,0.0000000000,0.0000000000,0.7073962762
2004-06-25,-0.7262291947,0.0000000000,0.1399613934,0.0000000000,0.3774698466,0.1899650362,0.0000000000,0.0000000000,0.7073962762
2004-06-28,-0.7286540466,0.0000000000,0.1616318257,0.0000000000,0.4359140688,0.2193776075,0.0000000000,0.0000000000,0.8169235020
2004-06-30,-1.5365689576,0.2042308755,0.3658627012,0.0000000000,0.3000553129,0.1510054879,0.0000000000,0.0000000000,0.8169235020
2004-07-05,-0.7728783372,0.0000000000,0.1590325909,0.0000000000,0.2458173150,0.2001808837,0.0000000000,0.0000000000,0.6050307897
2004-07-22,0.3080753346,0.0000000000,0.3318306430,0.0000000000,0.1353947116,0.2042462607,0.0000000000,0.0000000000,0.6714716154
2004-08-09,1.8356350424,-0.1678679038,0.1639627392,0.0000000000,0.2023136886,0.3051951876,0.0000000000,0.0000000000,0.6714716154
2004-08-26,0.9991610154,0.0000000000,0.3318306430,0.0000000000,0.1353947116,0.2042462607,0.0000000000,0.0000000000,0.6714716154
2004-08-27,1.1957411797,-0.1678679038,0.1639627392,0.0000000000,0.2023136886,0.3051951876,0.0000000000,0.0000000000,0.6714716154
2004-08-30,0.7277166233,0.0000000000,0.3318306430,0.0000000000,0.1353947116,0.2042462607,0.0000000000,0.0000000000,0.6714716154
2004-08-31,1.3697444858,-0.1678679038,0.1639627392,0.0000000000,0.2023136886,0.3051951876,0.0000000000,0.0000000000,0.6714716154
2004-09-03,0.7177190450,0.0000000000,0.3318306430,0.0000000000,0.1353947116,0.2042462607,0.0000000000,0.0000000000,0.6714716154
2004-09-08,0.2265078555,0.0000000000,0.3409979303,0.0000000000,0.1391351805,0.2098888504,0.0000000000,0.0000000000,0.6900219612
2004-09-10,0.2720701110,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-09-24,1.2181908055,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-10-05,0.5220519415,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-10-11,1.5168884050,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-10-13,0.9334130516,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-10-15,1.5352442235,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-10-29,0.8953821966,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-11-01,1.2630517673,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-11-03,0.5917144280,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-11-22,1.1739971466,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-11-25,0.9990903579,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-11-29,1.0073626654,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-12-02,0.9857359405,0.0000000000,0.6254344022,0.0000000000,0.0000000000,0.1320084047,0.0000000000,0.0000000000,0.7574428068
2004-12-06,1.0118951499,-0.1893607017,0.4360737005,0.0000000000,0.0000000000,0.3213691064,0.0000000000,0.0000000000,0.7574428068
2004-12-07,0.8693652607,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2004-12-08,1.1110671701,-0.1753106431,0.3746913416,0.0000000000,0.0000000000,0.3265512309,0.0000000000,0.0000000000,0.7012425725
2004-12-09,0.0413389663,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2005-02-07,-1.3842284351,0.1512405878,0.7012425725,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7012425725
2005-02-11,-0.8771589169,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2005-03-14,1.0207199921,-0.1753106431,0.3746913416,0.0000000000,0.0000000000,0.3265512309,0.0000000000,0.0000000000,0.7012425725
2005-03-15,0.5655233565,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2005-03-17,1.2103932856,-0.1753106431,0.3746913416,0.0000000000,0.0000000000,0.3265512309,0.0000000000,0.0000000000,0.7012425725
2005-03-18,0.8166467778,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2005-03-21,1.0214042284,-0.1753106431,0.3746913416,0.0000000000,0.0000000000,0.3265512309,0.0000000000,0.0000000000,0.7012425725
2005-03-22,0.5032303407,0.0000000000,0.5500019847,0.0000000000,0.0000000000,0.1512405878,0.0000000000,0.0000000000,0.7012425725
2005-03-31,0.1295583997,0.0000000000,0.1891933035,0.0000000000,0.2428947415,0.1547945210,0.0000000000,0.0000000000,0.5868825660
2005-04-18,1.2735208800,-0.1467206415,0.0424726620,0.0000000000,0.3325065960,0.2119033081,0.0000000000,0.0000000000,0.5868825660
2005-05-04,0.7573955702,0.0000000000,0.1891933035,0.0000000000,0.2428947415,0.1547945210,0.0000000000,0.0000000000,0.5868825660
2005-05-20,-1.0089681952,0.1467206415,0.3359139450,0.0000000000,0.1532828871,0.0976857339,0.0000000000,0.0000000000,0.5868825660
2005-05-24,-1.4890180493,0.2087228049,0.4368751629,0.0000000000,0.1921480999,0.2058679569,0.0000000000,0.0000000000,0.8348912197
2005-06-09,-1.0338704309,0.1339510884,0.2412022416,0.0000000000,0.1456237060,0.1489784061,0.0000000000,0.0000000000,0.5358043537
2005-06-13,-0.8992513737,0.0000000000,0.1072511531,0.0000000000,0.2118365847,0.2167166158,0.0000000000,0.0000000000,0.5358043537
2005-06-15,-1.0524848722,0.1339510884,0.2412022416,0.0000000000,0.1456237060,0.1489784061,0.0000000000,0.0000000000,0.5358043537
2005-06-16,-0.9791276590,0.0000000000,0.1072511531,0.0000000000,0.2118365847,0.2167166158,0.0000000000,0.0000000000,0.5358043537
2005-07-06,-1.5991539549,0.1339510884,0.2412022416,0.0000000000,0.1456237060,0.1489784061,0.0000000000,0.0000000000,0.5358043537
2005-08-12,-0.6360570451,0.0000000000,0.1072511531,0.0000000000,0.2118365847,0.2167166158,0.0000000000,0.0000000000,0.5358043537
2005-09-01,-1.1028221804,0.1339510884,0.2412022416,0.0000000000,0.1456237060,0.1489784061,0.0000000000,0.0000000000,0.5358043537
2005-09-02,-0.4476725839,0.0000000000,0.1072511531,0.0000000000,0.2118365847,0.2167166158,0.0000000000,0.0000000000,0.5358043537
2005-09-07,-0.5843745863,0.0000000000,0.1623043682,0.0000000000,0.2468311977,0.1557528591,0.0000000000,0.0000000000,0.5648884250
2005-09-15,-0.0369747448,0.0000000000,0.4454029355,0.0000000000,0.0000000000,0.1319480521,0.0000000000,0.0000000000,0.5773509876
2005-09-20,1.1215694996,-0.1443377469,0.3010651886,0.0000000000,0.0000000000,0.2762857990,0.0000000000,0.0000000000,0.5773509876
2005-11-02,0.9199078745,0.0000000000,0.4454029355,0.0000000000,0.0000000000,0.1319480521,0.0000000000,0.0000000000,0.5773509876
2005-11-17,1.2793982959,-0.1443377469,0.3010651886,0.0000000000,0.0000000000,0.2762857990,0.0000000000,0.0000000000,0.5773509876
2005-12-06,2.0252272947,-0.2500000000,0.5156664306,0.0000000000,0.0000000000,0.4843335694,0.0000000000,0.0000000000,1.0000000000
2006-03-07,1.6567237811,-0.1457977250,0.1326250958,0.0000000000,0.0000000000,0.4505658042,0.0000000000,0.0000000000,1.0000000000
2006-05-29,2.0579226575,-0.1028999369,0.0000000000,0.0000000000,0.3341983293,0.2254006485,0.0000000000,0.0000000000,0.5847714161
2006-06-15,0.9772822805,0.0000000000,0.1028999369,0.0000000000,0.2727454169,0.1839536241,0.0000000000,0.0000000000,0.5847714161
2006-06-19,1.0618403926,-0.1028999369,0.0000000000,0.0000000000,0.3341983293,0.2254006485,0.0000000000,0.0000000000,0.5847714161
2006-06-20,0.9841434276,0.0000000000,0.1028999369,0.0000000000,0.2727454169,0.1839536241,0.0000000000,0.0000000000,0.5847714161
2006-06-21,1.0853616248,-0.1028999369,0.0000000000,0.0000000000,0.3341983293,0.2254006485,0.0000000000,0.0000000000,0.5847714161
2006-06-30,0.9161858668,0.0000000000,0.1028999369,0.0000000000,0.2727454169,0.1839536241,0.0000000000,0.0000000000,0.5847714161
2006-07-03,1.3009868439,-0.1028999369,0.0000000000,0.0000000000,0.3341983293,0.2254006485,0.0000000000,0.0000000000,0.5847714161
2006-08-16,1.0726912437,-0.1772261280,0.0000000000,0.0000000000,0.7609230130,0.2021415581,0.0000000000,0.0000000000,1.0000000000
2006-08-18,0.8484501391,0.0000000000,0.1772261280,0.0000000000,0.6208956012,0.1649428419,0.0000000000,0.0000000000,1.0000000000
2006-11-08,-0.0744789624,0.0000000000,0.2757056940,0.0000000000,0.5003580199,0.2239362861,0.0000000000,0.0000000000,1.0000000000
2006-11-10,0.0850130494,0.0000000000,0.2883191077,0.0000000000,0.2984200854,0.2542948373,0.0000000000,0.0000000000,1.0000000000
2006-11-13,-0.0712726928,0.0000000000,0.3008396768,0.0000000000,0.0979685714,0.2844299258,0.0000000000,0.0000000000,1.0000000000
2006-12-05,-0.1331401272,0.0000000000,0.2961015161,0.0000000000,0.0000000000,0.3659786851,0.0000000000,0.0000000000,1.0000000000
2007-01-08,-1.0642430751,0.1655200503,0.4616215664,0.0000000000,0.0000000000,0.2004586348,0.0000000000,0.0000000000,1.0000000000
2007-01-10,-0.9540832976,0.0000000000,0.2961015161,0.0000000000,0.0000000000,0.3659786851,0.0000000000,0.0000000000,1.0000000000
2007-01-11,-1.0387176875,0.1655200503,0.4616215664,0.0000000000,0.0000000000,0.2004586348,0.0000000000,0.0000000000,1.0000000000
2007-01-15,-0.9324113446,0.0000000000,0.2961015161,0.0000000000,0.0000000000,0.3659786851,0.0000000000,0.0000000000,1.0000000000
2007-02-05,-0.5202200614,0.0000000000,0.2535857315,0.0000000000,0.1140178942,0.2961654164,0.0000000000,0.0000000000,1.0000000000
2007-05-01,-0.2901459230,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-05-18,-1.0501855741,0.2100033650,0.4506376803,0.0000000000,0.0047293625,0.3846464173,0.0000000000,0.0000000000,1.0000000000
2007-06-04,-0.9719591470,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-06-05,-1.0029668098,0.2100033650,0.4506376803,0.0000000000,0.0047293625,0.3846464173,0.0000000000,0.0000000000,1.0000000000
2007-06-06,-0.9687304246,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-06-11,-1.3068970662,0.2100033650,0.4506376803,0.0000000000,0.0047293625,0.3846464173,0.0000000000,0.0000000000,1.0000000000
2007-07-11,-0.9877250449,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-07-12,-1.0947321833,0.2100033650,0.4506376803,0.0000000000,0.0047293625,0.3846464173,0.0000000000,0.0000000000,1.0000000000
2007-07-23,-0.6046829816,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-08-16,1.2956597856,-0.2100033650,0.0306309502,0.0000000000,0.0098307690,0.7995517409,0.0000000000,0.0000000000,1.0000000000
2007-08-17,0.2656372322,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-09-10,1.7394485214,-0.2100033650,0.0306309502,0.0000000000,0.0098307690,0.7995517409,0.0000000000,0.0000000000,1.0000000000
2007-10-03,0.8431458085,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-10-05,1.2360120769,-0.2100033650,0.0306309502,0.0000000000,0.0098307690,0.7995517409,0.0000000000,0.0000000000,1.0000000000
2007-10-08,0.9506612389,0.0000000000,0.2406343152,0.0000000000,0.0072800657,0.5920990791,0.0000000000,0.0000000000,1.0000000000
2007-10-12,1.4111658037,-0.2100033650,0.0306309502,0.0000000000,0.0098307690,0.7995517409,0.0000000000,0.0000000000,1.0000000000
2007-10-16,1.6183331935,-0.2308007749,0.3516405331,0.0000000000,0.0063904821,0.5651720843,0.0000000000,0.0000000000,1.0000000000
2007-10-17,1.7974690473,-0.2481319498,0.6191485188,0.0000000000,0.0027373098,0.3706419704,0.0000000000,0.0000000000,1.0000000000
2008-01-09,3.6514446805,-0.1818827695,0.4215176569,0.0000000000,0.0007233880,0.3052900332,0.0000000000,0.0000000000,0.7299189784
2008-01-10,3.4313503960,-0.1436509830,0.3131816630,0.0000000000,0.0000000000,0.2614222690,0.0000000000,0.0000000000,0.5746039321
