factor,status,with,dev_corr,score
real10_level,selected,,0.0,4.9645500584808415
ma_dist_gold_60,selected,,0.1744590150341428,4.334111308319162
mom_gold_20,redundant,ma_dist_gold_60,0.8181703675095426,4.1842087812478
ma_dist_gold_20,selected,,0.747825303370984,3.877255588349511
mom_gold_10,redundant,ma_dist_gold_20,0.9174052984808815,3.6253792915137315
ma_dist_gold_120,redundant,ma_dist_gold_60,0.8921651429876492,3.4522480753810814
vix3m_level,selected,,0.5845162315611138,3.4444871353039175
eff_sp500_60,selected,,-0.08824791934146523,3.370312697751197
vol_sp500_60,redundant,vix3m_level,0.9243778008513295,3.210797767112089
vol_nasdaq_60,redundant,vix3m_level,0.9193149539368811,2.9606687154071922
mom_gold_60,redundant,ma_dist_gold_60,0.8206935605202978,2.950898672567202
rel_us_china_20,selected,,-0.22185806880993172,2.9222698575932418
downvol_shanghai_20,selected,,0.45577892274737314,2.905691396167866
downvol_sp500_60,redundant,vix3m_level,0.9320179012167307,2.8859056632198667
mom_gold_5,selected,,0.757167121638719,2.8756755478765865
chg_real10_1,selected,,-0.08119004109977662,2.86937721754569
ma_dist_gold_252,selected,,0.6896296483643878,2.8607219586266504
eff_nasdaq_60,redundant,eff_sp500_60,0.8007322722872977,2.786538949337865
dd_gold_20,redundant,ma_dist_gold_20,0.8547328653427488,2.766080074511474
vol_nasdaq_120,redundant,vix3m_level,0.8801350460180557,2.729980195096635
downvol_sp500_120,redundant,vix3m_level,0.9117754272882594,2.717199797601991
downvol_nasdaq_60,redundant,vix3m_level,0.9215012434886988,2.69411259901016
vol_sp500_120,redundant,vix3m_level,0.8869098110009118,2.6717021263193304
downvol_csi300_20,redundant,downvol_shanghai_20,0.9851459556110354,2.671480117144583
eff_shanghai_20,selected,,-0.2827489886956738,2.6359512835050127
rel_us_gold_20,selected,,-0.6081777390701179,2.6169737177737113
rel_us_gold_60,selected,,-0.5706045919066723,2.5925812792675123
downvol_nasdaq_120,redundant,vix3m_level,0.9049089176244351,2.5488497746495202
dd_gold_60,redundant,ma_dist_gold_60,0.8326725851792821,2.537447151339679
downvol_shanghai_10,redundant,downvol_shanghai_20,0.8294715816787431,2.4291472511834478
mom_gold_120,redundant,ma_dist_gold_252,0.9060821611280958,2.407303716815669
downvol_shanghai_60,redundant,downvol_shanghai_20,0.8022914613178418,2.406894283436953
dd_shanghai_20,selected,,-0.6418502988940654,2.3725407292381213
dispersion_120,selected,,0.37262524376007383,2.370453700893006
downvol_shanghai_120,selected,,0.7304933958111923,2.2909478683296793
eff_sp500_20,selected,,0.21124321842680957,2.2652880183749833
rel_us_gold_10,selected,,0.7003431749090672,2.2326302208447344
dispersion_60,selected,,0.7385604877364524,2.2295010470276186
downvol_gold_120,selected,,0.48163034236133745,2.224193733022815
mom_shanghai_20,redundant,rel_us_china_20,-0.8090637695851924,2.2062398102687317
chg_vix3m_60,selected,,-0.48563025533032084,2.158605902302579
downvol_csi300_60,redundant,downvol_shanghai_120,0.9143950810087144,2.146759203672895
vol_gold_120,redundant,downvol_gold_120,0.9270106736261178,2.1370707826323696
eff_gold_60,selected,,0.4033007048083103,2.0890365490405602
