factor,status,with,dev_corr,score
ma_dist_shanghai_252,selected,,0.0,6.957010041373881
mom_shanghai_120,redundant,ma_dist_shanghai_252,0.9528299010720174,6.948497158944073
dd_csi300_120,selected,,0.6977673471907239,6.903717655125096
ma_dist_csi300_252,redundant,ma_dist_shanghai_252,0.9907622344550223,6.80004113373585
rel_us_china_252,selected,,-0.7981090655377683,6.746529597539017
mom_csi300_120,redundant,ma_dist_shanghai_252,0.9400158387900123,6.71997762337942
dd_shanghai_120,redundant,dd_csi300_120,0.9837992485404015,6.697900408090643
ma_dist_shanghai_120,redundant,ma_dist_shanghai_252,0.8979746972324693,6.692896456191101
ma_dist_csi300_120,redundant,ma_dist_shanghai_252,0.900404981979344,6.6432646475175785
rel_gold_china_120,redundant,ma_dist_shanghai_252,-0.8675046967424248,6.505925616596836
rel_us_china_120,redundant,ma_dist_shanghai_252,-0.827769155814889,6.4271473025575565
dd_csi300_60,redundant,dd_csi300_120,0.889357164324346,5.837465776217751
eff_nasdaq_60,selected,,0.106353795332629,5.631294468426314
dd_csi300_252,redundant,dd_csi300_120,0.8499296628925924,5.584161483839408
dd_shanghai_252,redundant,dd_csi300_120,0.8596209492108906,5.570904009747808
rel_gold_china_252,redundant,rel_us_china_252,0.9087316675752216,5.104917162615334
mom_shanghai_252,redundant,rel_us_china_252,-0.9343895501366797,4.923632796937299
mom_csi300_252,redundant,rel_us_china_252,-0.9515150567542783,4.903234880224247
breadth_120,selected,,0.6939074278626404,4.8200044486661815
real10_level,selected,,-0.3980458864244763,4.604206935779835
ma_dist_csi300_60,selected,,0.7464065349287549,4.40645008575625
dd_shanghai_60,redundant,dd_csi300_120,0.8730804455039533,4.382046764037746
rel_gold_china_60,selected,,-0.7897525565985694,4.36989022600838
mom_csi300_60,redundant,ma_dist_csi300_60,0.9050255221589315,4.35330774194429
mom_shanghai_60,redundant,ma_dist_csi300_60,0.8943877521476866,4.292401474762446
ma_dist_shanghai_60,redundant,ma_dist_csi300_60,0.9823141922334696,4.248968745802635
rel_gold_china_20,selected,,-0.7129789961759206,4.219220539567121
breadth_60,selected,,0.6248967236312357,4.12858468589593
rel_us_china_20,selected,,-0.6835696726912008,4.020423893379461
eff_shanghai_20,selected,,-0.2827489886956738,3.8945167139613575
rel_us_china_10,selected,,0.7210608399034791,3.849441682082891
eff_shanghai_120,selected,,0.6265166765469238,3.7583809142668607
dd_nasdaq_60,selected,,0.5175237938813941,3.756154201551374
eff_csi300_120,redundant,eff_shanghai_120,0.97029557075535,3.6396970205004977
eff_csi300_20,redundant,eff_shanghai_20,0.9519766527276087,3.368937645166659
eff_shanghai_60,selected,,0.6157740326657329,3.226437885387038
eff_sp500_120,selected,,0.28916950564996097,3.174725897140546
vix3m_level,selected,,-0.7466008315677833,3.1263910886529795
mom_csi300_20,redundant,ma_dist_csi300_60,0.8649862857002648,3.040834118612302
ma_dist_csi300_20,selected,,0.7942337993309637,2.9398305119381685
vix_term_ratio,selected,,-0.7162708275791762,2.9344212971859776
mom_shanghai_20,redundant,ma_dist_csi300_20,0.862454571834951,2.9083839677738332
ma_dist_shanghai_20,redundant,ma_dist_csi300_20,0.9780678122490103,2.856007388828317
vol_gold_120,selected,,0.696834118368299,2.8197147402525986
vix_pct252,selected,,0.7165055045943095,2.814589299982373
mom_shanghai_5,selected,,0.7562926130660743,2.791938004698051
dispersion_60,selected,,0.6452540527922939,2.772840239075075
rel_gold_china_10,selected,,0.7177646488752197,2.757368366231399
mom_csi300_5,redundant,mom_shanghai_5,0.9764868670564814,2.7342230103410117
breadth_252,selected,,0.6387206692261469,2.723780789194816
mom_csi300_10,redundant,ma_dist_csi300_20,0.9280060641392378,2.71468045451992
vix_z252,redundant,vix_pct252,0.9128441957743877,2.674991231342113
mom_shanghai_10,redundant,ma_dist_csi300_20,0.9057135558670877,2.6453741422297075
dispersion_10,selected,,0.42919875111979616,2.5903725526811887
dispersion_20,selected,,0.5961308185332016,2.5458062826992798
rel_us_china_60,selected,,-0.7766458452360079,2.5396679058546963
mom_nasdaq_60,redundant,dd_nasdaq_60,0.8512399590311249,2.503019820182696
chg_real10_10,selected,,-0.11944355901651188,2.4954959333902114
mom_sp500_252,selected,,-0.7349124875199035,2.480269380797235
dispersion_252,redundant,rel_us_china_252,-0.9072945611570779,2.4756314750942985
eff_sp500_60,redundant,eff_nasdaq_60,0.8007322722872977,2.461116561300672
chg_vix3m_60,selected,,-0.7430908842964179,2.3410387785509945
downvol_sp500_120,redundant,vix3m_level,0.9117754272882594,2.339380259823262
breadth_20,selected,,0.562775227982082,2.3235603674622776
vol_sp500_120,redundant,vix3m_level,0.8869098110009118,2.287004108448377
dispersion_120,selected,,0.745151350044126,2.2291003978546486
vixterm_z252,redundant,vix_term_ratio,0.800521117394004,2.1919769221589087
dd_csi300_20,redundant,ma_dist_csi300_20,0.836311853126268,2.181230184156971
vol_nasdaq_120,redundant,vix3m_level,0.8801350460180557,2.1617042438710987
mom_gold_60,selected,,0.3113654519698411,2.1512914577192292
ma_dist_nasdaq_120,redundant,dd_nasdaq_60,0.8844365912642819,2.091783203883358
mom_nasdaq_252,redundant,mom_sp500_252,0.946874048618431,2.0915326488874735
chg_real10_1,selected,,0.2890362505173685,2.0857201931452787
ma_dist_gold_60,redundant,mom_gold_60,0.8206935605202978,2.051521798317017
downvol_shanghai_10,selected,,-0.49314669980534964,2.0488284981212583
breadth_10,selected,,0.615832242038198,2.033698194081292
chg_real10_60,selected,,-0.5164889359744187,2.027125652820848
rel_us_gold_252,selected,,0.749448379642679,2.010745383226599
mom_gold_5,selected,,0.30638580640061985,2.0031230383389786
vix_term_spread,redundant,vix_term_ratio,0.918209192580395,2.00278880989022
