factor,status,with,dev_corr,score
real10_level,selected,,0.0,6.829965433113926
eff_sp500_20,selected,,-0.09864937052005122,4.298370587510015
dispersion_10,selected,,0.22754822272478137,4.102421101888348
dd_shanghai_120,selected,,-0.27476292133357155,3.9321893283551304
dd_csi300_120,redundant,dd_shanghai_120,0.9837992485404015,3.844081852257296
vol_shanghai_10,selected,,-0.49324154040468404,3.80570663613462
downvol_shanghai_60,selected,,0.6916391358776225,3.80065854166567
vol_shanghai_60,redundant,downvol_shanghai_60,0.9429669657879446,3.763860540309294
downvol_shanghai_20,redundant,downvol_shanghai_60,0.8022914613178418,3.619926769398176
downvol_shanghai_120,redundant,downvol_shanghai_60,0.9145951636098802,3.5406936049203455
vol_shanghai_20,redundant,vol_shanghai_10,0.8746574572090442,3.5252655100013848
dd_shanghai_252,redundant,dd_shanghai_120,0.8662916482649753,3.41909852968735
downvol_csi300_60,redundant,downvol_shanghai_60,0.9892168410166089,3.3543790696274085
downvol_csi300_20,redundant,downvol_shanghai_60,0.8098007533989618,3.3325233555236426
vol_csi300_10,redundant,vol_shanghai_10,0.9820758938411965,3.3302339506327474
downvol_shanghai_10,redundant,vol_shanghai_10,0.8250898319795918,3.3113363016312545
vol_csi300_60,redundant,downvol_shanghai_60,0.9450487907676555,3.306932355144654
vol_shanghai_120,redundant,downvol_shanghai_60,0.8774929724272112,3.296237400109925
real10_z252,selected,,0.37032481078137164,3.284980322975571
downvol_csi300_120,redundant,downvol_shanghai_60,0.8976054559522946,3.206099183844242
ma_dist_shanghai_120,redundant,dd_shanghai_120,0.8160479775963035,3.1861633279209673
dd_csi300_252,redundant,dd_shanghai_120,0.835996121817025,3.1643381861500646
rel_us_china_20,selected,,-0.3736619326564796,3.1616006782198456
vol_csi300_20,redundant,vol_shanghai_10,0.8564118669633657,3.1577949501244245
ma_dist_csi300_120,selected,,0.7707880165508965,3.1358947190470703
dd_shanghai_60,redundant,dd_shanghai_120,0.8927573055857637,3.132374142707096
ma_dist_shanghai_60,redundant,ma_dist_csi300_120,0.9013663008547375,3.1231551078090543
mom_shanghai_60,redundant,ma_dist_csi300_120,0.9350965990516551,3.041621485687956
downvol_csi300_10,redundant,vol_shanghai_10,0.80643619380637,3.002725306743596
vol_csi300_120,redundant,downvol_shanghai_60,0.8720659494761448,2.9845542928979985
dd_shanghai_20,selected,,0.671653019529121,2.974773281813829
dispersion_252,selected,,0.5043502588000284,2.8695143824900224
dd_csi300_20,redundant,dd_shanghai_20,0.9855604916635712,2.8677576215132694
mom_csi300_60,redundant,ma_dist_csi300_120,0.951175623501045,2.8470475764721805
chg_vix_1,selected,,-0.09197779332095558,2.8433710829110894
dd_csi300_60,redundant,dd_shanghai_120,0.884754212604516,2.78391174753176
chg_real10_20,selected,,0.540187782816239,2.7809672032730868
ma_dist_csi300_60,redundant,ma_dist_csi300_120,0.9214773623529455,2.7768573625662505
rel_us_gold_20,selected,,0.42752752426887863,2.749186080231229
dispersion_20,selected,,0.5961308185332016,2.6618371502691103
eff_sp500_60,selected,,0.21124321842680957,2.6356069246103604
dd_sp500_20,selected,,0.5962637860733941,2.6249330317791104
chg_real10_60,selected,,0.7329766496265449,2.6141985064977495
rel_us_china_60,selected,,-0.7955795022539479,2.5988184374024583
rel_us_gold_10,selected,,0.7003431749090672,2.591556220593743
mom_shanghai_20,redundant,rel_us_china_20,-0.8090637695851924,2.546543469301889
mom_shanghai_120,redundant,ma_dist_csi300_120,0.9302380688011281,2.4791476106543837
mom_csi300_120,redundant,ma_dist_csi300_120,0.9242644397673914,2.478403958701412
rel_gold_china_120,redundant,ma_dist_csi300_120,-0.8491010031858633,2.454625410381867
ma_dist_gold_60,selected,,-0.6081777390701179,2.447514082358354
mom_csi300_5,selected,,0.5986983854318313,2.4339305856015665
rel_us_china_120,redundant,ma_dist_csi300_120,-0.83259059655456,2.4120908457209738
breadth_252,selected,,0.5112107388789146,2.326316345333294
mom_gold_120,selected,,0.6241873424168295,2.2760001941486405
mom_csi300_20,redundant,rel_us_china_20,-0.8155186711469125,2.2754611633578774
ma_dist_gold_120,redundant,ma_dist_gold_60,0.8921651429876492,2.255178483816733
ma_dist_gold_252,redundant,mom_gold_120,0.9060821611280958,2.2549549624586627
ma_dist_nasdaq_60,selected,,0.780627375246892,2.203046548797552
rel_gold_china_20,selected,,0.6470825347146266,2.1943552181088966
vix_term_spread,selected,,-0.7912519877754536,2.1889301700355728
mom_sp500_5,selected,,0.5712489782515825,2.1853867355823744
mom_gold_20,redundant,ma_dist_gold_60,0.8181703675095426,2.177187195536877
dd_gold_60,redundant,ma_dist_gold_60,0.8326725851792821,2.1619481316080966
dd_nasdaq_252,selected,,0.6490775609612134,2.1473713139553516
vol_gold_10,selected,,-0.46559629950857534,2.1439227772634375
dd_sp500_252,redundant,dd_nasdaq_252,0.9717091012236589,2.124143142768952
downvol_gold_120,selected,,0.5639783894257752,2.0807714680428693
mom_nasdaq_5,redundant,mom_sp500_5,0.9348172688470576,2.076987953498526
eff_shanghai_20,selected,,0.5004740824718954,2.0755326100970852
dd_gold_20,selected,,0.652763068614953,2.0740996546719708
downvol_gold_60,redundant,downvol_gold_120,0.8530690460439848,2.0673059141860777
mom_nasdaq_252,selected,,0.7855794926219205,2.064288030660569
chg_real10_10,selected,,0.7100957363603007,2.0637087599434545
ma_dist_sp500_60,redundant,ma_dist_nasdaq_60,0.9425550510486963,2.060919526535042
eff_gold_60,selected,,0.4033007048083103,2.0491454121792234
mom_gold_60,redundant,ma_dist_gold_60,0.8206935605202978,2.044666011463093
chg_vix3m_20,selected,,-0.6752318802301647,2.0351618572373256
ma_dist_shanghai_20,redundant,dd_shanghai_20,0.8460195976234979,2.032128711964069
vol_gold_120,redundant,downvol_gold_120,0.9270106736261178,1.9161636246476528
dd_nasdaq_120,redundant,dd_nasdaq_252,0.844761144728499,1.9025535885192253
