date,signal_date,split,sale_top2,gross_decrease,consensus_top2,sold_dual_rank,sold_both_pos,sold_any_both_pos,score_gap,top2,edge5,edge20,edge60
2003-03-04,2003-03-03,dev,0.4097056087,0.4136532,0,0,1,1,0.125,shanghai|gold,-0.001087125525321472,0.01747201825254991,-0.02201500598021916
2003-09-05,2003-09-04,dev,0.0816388136,0.14330768410000005,1,1,1,1,0.25,nasdaq|sp500,-0.0014253086736803543,-0.0005332241229326858,-0.007993206104022127
2004-02-05,2004-02-04,dev,0.08645544299999997,0.3277337089,0,0,1,1,0.0,sp500|shanghai,-0.015708009861794638,-0.006592844735507269,0.0010059449566562186
2004-02-19,2004-02-18,dev,0.2913027461,0.6722662911,0,0,2,1,0.0,sp500|shanghai,0.0015343571021224104,0.0068126501677909694,0.03367870674240766
2004-07-05,2004-07-02,dev,0.2939813463,0.33218874049999997,0,1,0,0,0.0,sp500|nasdaq,0.00014217603567213575,0.00508096934124393,0.0046533647235940424
2004-12-07,2004-12-06,dev,0.1060199396,0.09747707220000001,0,1,1,1,0.0,gold|sp500,0.0027533833942431515,0.004277908486326922,0.0030980260213839482
2005-03-31,2005-03-30,dev,0.3738589514,0.27585333049999994,1,1,0,0,0.5,sp500|gold,-0.003107591012037913,-0.012032536820570034,-0.016335209921044813
2005-06-09,2005-06-08,dev,0.4068505391,0.5963294533,0,1,2,1,0.25,sp500|nasdaq,-0.014493910407858997,-0.00523884645949505,-0.011439657041191289
2005-09-07,2005-09-06,dev,0.0905376576,0.1183254863,0,0,1,1,0.0,nasdaq|shanghai,-8.372723176855532e-05,0.0028476002451428765,-0.003465807272949242
2006-05-29,2006-05-26,dev,0.4119633285,0.6305449162000001,1,1,1,1,0.25,csi300|shanghai,-0.014840941516074126,0.018170631832545296,0.018044808574825898
2008-01-09,2008-01-08,dev,0.29381835349999996,0.30336248199999993,0,1,1,1,0.125,csi300|gold,-0.0019248099203292277,-0.005841693353373848,0.004180749446302843
2008-01-10,2008-01-09,dev,0.1617959579,0.17445416070000008,0,1,1,1,0.125,csi300|gold,0.0016646407853150448,-0.0012580131433606453,0.003243217223474975
2008-03-07,2008-03-06,dev,0.1227710743,0.21657885159999996,1,1,1,1,0.25,gold|csi300,-0.004902887540836716,0.0018505945989657265,0.0005036223511951914
2009-06-01,2009-05-29,dev,0.10396200649999998,0.15067143269999994,0,0,0,0,0.0,nasdaq|shanghai,-0.011041292372675876,-0.031994139559235045,-0.028931793152382417
2009-06-08,2009-06-05,dev,0.1238869394,0.10985971890000001,0,1,1,1,0.25,shanghai|csi300,-0.003545345971109245,-0.021522576712725013,0.012845399916623142
2010-01-11,2010-01-08,dev,0.4267028874,1.0,0,1,2,1,0.125,nasdaq|sp500,0.003851571601788775,0.06635238688070187,-0.025022705481469093
2010-05-03,2010-04-30,dev,0.5569947593,0.7804157086,0,1,1,1,0.0,nasdaq|sp500,0.015970675762581273,0.03952564371057621,0.041871342172368736
2011-07-28,2011-07-27,dev,0.16961172000000002,0.16961172000000002,1,2,1,1,0.375,gold|nasdaq,0.0011358828727816898,-0.000718333171473079,0.004220106008033372
2011-09-16,2011-09-15,dev,0.36076367460000003,0.36076367460000003,1,2,1,1,0.25,gold|nasdaq,0.02796334187980346,0.015664855221567523,0.013107093428832513
2011-09-19,2011-09-16,dev,0.18098220539999998,0.18098220539999998,1,2,1,1,0.25,gold|nasdaq,0.013780817401426844,0.006495154834673782,0.00781781443148968
2012-03-07,2012-03-06,dev,0.0634170784,0.2237087821,0,1,2,1,0.125,nasdaq|sp500,-0.0009190713722477526,0.0028300723738088726,0.009778250954622272
2012-03-12,2012-03-09,dev,0.2624579752,0.44130263080000004,0,1,2,1,0.125,nasdaq|sp500,-0.009121338399230247,-0.00173155762313316,0.02057876133309737
2012-08-20,2012-08-17,dev,0.0913987424,0.13581893280000001,1,2,2,1,0.375,sp500|nasdaq,-0.0025427763789417496,-0.0074525129600743365,0.0021824555023260738
2012-11-13,2012-11-12,dev,0.1027152472,0.3697510971,0,0,0,0,0.25,gold|sp500,-0.00804882444929534,-0.021751694807803184,-0.040836931906158766
2013-07-29,2013-07-26,dev,0.36179029789999995,0.39215878130000004,1,1,1,1,0.375,sp500|nasdaq,-0.0072123491363521985,8.325521499143694e-05,-0.012533040472222708
2013-08-02,2013-08-01,dev,0.2612922963,0.21525654390000004,1,1,1,1,0.25,nasdaq|sp500,-0.0006617081360384561,0.007196098875721301,-0.006016267588102151
2013-09-04,2013-09-03,dev,0.33520156190000006,0.33915493080000003,0,1,1,1,0.25,nasdaq|sp500,-0.010404057245025945,-0.018674040004356175,-0.037812379696473955
2014-04-02,2014-04-01,dev,0.3675324815,0.3309826132,0,0,1,1,0.25,sp500|nasdaq,0.004084720710294408,0.006748311418436688,-0.013874824543223955
2014-06-06,2014-06-05,dev,0.41729886499999996,0.5622534777,1,2,2,1,0.25,sp500|nasdaq,-0.003582568413185978,-0.025759556568695517,-0.024221545992461135
2014-12-10,2014-12-09,dev,0.5405614554000001,0.8955121653,0,1,2,1,0.25,csi300|shanghai,-0.02876356374252665,-0.07886390692384149,-0.08887349892618783
2014-12-31,2014-12-30,dev,0.065,0.065,1,2,2,1,0.5,shanghai|csi300,-0.0018341761282836318,-0.0011750944265726954,-0.009617987903312662
2015-05-28,2015-05-27,validation,0.1855025122,0.3192746125,1,2,2,1,0.375,shanghai|csi300,-0.015431054127083352,0.0008498033399510973,0.03829134088223626
2015-06-29,2015-06-26,validation,0.26880644750000005,0.28580393160000006,0,0,2,1,0.25,shanghai|nasdaq,-0.0037321668987520336,-0.0053570588595401114,0.0010156299335467847
2015-07-22,2015-07-21,validation,0.2631429305,0.30860982509999996,0,0,1,1,0.25,shanghai|nasdaq,0.002205189525800343,-0.0015733040759100918,0.016500621265355307
2015-07-27,2015-07-24,validation,0.15952393439999998,0.15803405309999996,0,0,1,1,0.25,shanghai|nasdaq,-0.004134324827896666,0.009590418613386812,-0.0015472307646673933
2015-09-10,2015-09-09,validation,0.35113847930000003,0.378248228,0,0,0,0,0.0,nasdaq|sp500,-0.010639978452763668,-0.004968222888313914,-0.021751968658894477
2015-11-12,2015-11-11,validation,0.3123901802,0.386667216,0,0,1,1,0.25,csi300|nasdaq,-0.009449571090945326,-0.010105285857521722,0.022367611872494222
2016-04-29,2016-04-28,validation,0.17100780740000002,0.05424663560000004,1,1,1,1,0.625,sp500|gold,-0.004442689526768733,0.008161284721667472,-0.0037300825802541716
2016-07-25,2016-07-22,validation,0.2089047659,0.04704675540000003,0,1,1,1,0.125,sp500|gold,0.000976421688124179,-0.002716185006465817,-0.01038542753247823
2017-11-17,2017-11-16,validation,0.221616116,0.3880953333,0,1,1,1,0.0,csi300|sp500,-0.003175511237047702,0.005067811801244521,0.01798520211359727
2017-12-12,2017-12-11,validation,0.19570843270000002,0.16870168060000001,0,1,1,1,0.125,nasdaq|sp500,-0.007740832542277011,-0.011067332514845405,-0.013689948896209857
2018-10-08,2018-10-05,validation,0.23918217310000012,0.26256309890000007,1,2,2,1,0.375,sp500|nasdaq,0.0070942951296174995,0.008700184561629935,0.029598120216845596
2018-10-12,2018-10-11,validation,0.34986782219999996,0.35709686909999994,0,1,0,0,0.0,sp500|nasdaq,-0.0028738273602416727,-0.002707866578633799,0.0322244801866491
2019-04-26,2019-04-25,validation,0.1031707113,0.22922105180000008,1,1,1,1,0.625,sp500|nasdaq,-0.0020406978762512037,-0.0015719633009579944,-0.02219497768933306
2019-10-11,2019-10-10,validation,0.11463381410000001,0.11225483059999997,1,1,1,1,0.375,gold|csi300,-0.0016446625230567347,0.0020252326846590756,-0.006289042960216077
2020-03-30,2020-03-27,validation,0.2294149815,0.23604488890000003,1,2,1,1,0.25,gold|nasdaq,-0.010855288077122688,-0.015279695656398907,-0.023814367405497153
2020-04-22,2020-04-21,validation,0.09991799999999998,0.09991799999999995,1,1,0,0,0.375,gold|nasdaq,-0.005893516069609562,-0.011684228335450632,-0.023573429904976833
2020-11-05,2020-11-04,validation,0.25618095,0.7083959489,0,1,2,1,0.125,csi300|nasdaq,0.0011469843343296622,-0.009895390568667773,-0.016139350623144453
2020-12-07,2020-12-04,validation,0.22588866330000001,0.45396798790000004,1,1,1,1,0.375,nasdaq|csi300,-0.002172771235347884,-0.010137756271578757,-0.0025532998603860473
2021-01-14,2021-01-13,holdout,0.1876374045,0.5460320121,1,2,2,1,0.375,csi300|nasdaq,-0.015037317793298009,-0.023267618599860436,-0.024073095486682874
2021-11-09,2021-11-08,holdout,0.8462746085999999,0.8856669116,1,2,2,1,0.5,sp500|nasdaq,-0.013387589153333957,0.0017777412897349559,0.05709374754000106
2024-08-15,2024-08-14,holdout,0.33892177619999997,0.2096547324,1,1,1,1,0.25,gold|sp500,-0.00802098871645334,-0.014788868369885414,-0.02585476595896901
2025-04-25,2025-04-24,holdout,0.2967295885999999,0.30841787209999993,1,2,2,1,0.375,gold|shanghai,0.0041161651440299925,-0.004116901259893668,-0.001799842289843289
2025-04-28,2025-04-25,holdout,0.15914913040000003,0.17613929080000001,1,2,2,1,0.375,gold|shanghai,-0.0012937783118535378,-0.001132589581809168,-0.004317192091931396
2025-12-09,2025-12-08,holdout,0.15244062869999994,0.1549919448,0,1,2,1,0.125,gold|shanghai,-0.004477159584592723,-0.008631194793661166,-0.029436482116694647
2026-01-06,2026-01-05,holdout,0.4020817155,0.23351392729999998,0,1,1,1,0.125,gold|shanghai,-0.011743310249308246,-0.040281227762330174,-0.024540823604092796
2026-03-02,2026-02-27,holdout,0.37218063030000004,0.4232740078,1,2,2,1,0.25,shanghai|gold,0.006038623780449326,0.040194281477425146,0.020718800767269625
2026-03-03,2026-03-02,holdout,0.1674888674,0.1973003147,1,2,2,1,0.25,shanghai|gold,-0.0034178658763491395,0.01094729550428664,0.004539938225316646
2026-07-19,2026-07-18,holdout,0.23270558920000006,0.25100013639999996,0,1,0,0,0.25,sp500|nasdaq,0.0014093292931998537,-0.01321778957113989,
