rule,split,horizon,n,mean_edge,t,p,base_trade_win
all,all,5,59,-0.003237079805481156,-2.9634300643729694,0.003042311851502052,0.288135593220339
all,all,20,59,-0.0024562516236777136,-0.9823015285984468,0.3259513217032043,0.4067796610169492
all,all,60,58,-0.0031644143726749525,-1.0300704657732647,0.30297692820336536,0.4482758620689655
all,dev,5,31,nan,nan,nan,0.3225806451612903
all,dev,20,31,nan,nan,nan,0.4838709677419355
all,dev,60,31,nan,nan,nan,0.5161290322580645
all,validation,5,18,nan,nan,nan,0.2222222222222222
all,validation,20,18,nan,nan,nan,0.3333333333333333
all,validation,60,18,nan,nan,nan,0.3888888888888889
all,holdout,5,10,nan,nan,nan,0.3
all,holdout,20,10,nan,nan,nan,0.3
all,holdout,60,9,nan,nan,nan,0.3333333333333333
consensus_top2,all,5,27,nan,nan,nan,0.2222222222222222
consensus_top2,all,20,27,nan,nan,nan,0.48148148148148145
consensus_top2,all,60,27,nan,nan,nan,0.4074074074074074
consensus_top2,dev,5,12,nan,nan,nan,0.25
consensus_top2,dev,20,12,nan,nan,nan,0.5
consensus_top2,dev,60,12,nan,nan,nan,0.5
consensus_top2,validation,5,8,nan,nan,nan,0.125
consensus_top2,validation,20,8,nan,nan,nan,0.5
consensus_top2,validation,60,8,nan,nan,nan,0.25
consensus_top2,holdout,5,7,nan,nan,nan,0.2857142857142857
consensus_top2,holdout,20,7,nan,nan,nan,0.42857142857142855
consensus_top2,holdout,60,7,nan,nan,nan,0.42857142857142855
sold_dual_rank,all,5,47,-0.002869935215965783,-2.2197356412700384,0.02643671795520147,0.2978723404255319
sold_dual_rank,all,20,47,-0.002256325398094915,-0.7558196391408537,0.4497573402201009,0.40425531914893614
sold_dual_rank,all,60,46,-0.0027321953501546095,-0.7734172284769608,0.4392754970716925,0.45652173913043476
sold_dual_rank,dev,5,24,nan,nan,nan,0.3333333333333333
sold_dual_rank,dev,20,24,nan,nan,nan,0.4583333333333333
sold_dual_rank,dev,60,24,nan,nan,nan,0.5833333333333334
sold_dual_rank,validation,5,13,nan,nan,nan,0.23076923076923078
sold_dual_rank,validation,20,13,nan,nan,nan,0.38461538461538464
sold_dual_rank,validation,60,13,nan,nan,nan,0.3076923076923077
