date,signal_date,turnover,gross_decrease,us_decrease,factor_alignment,sale_top1,sale_top2,buy_top2,top1,top2,edge5,edge20,edge60
2003-03-04,2003-03-03,0.4136532,0.4136532,0.003947591300000001,-0.10143950435,0.0,0.4097056087,0.0,shanghai,shanghai|gold,-0.001087125525321472,0.01747201825254991,-0.02201500598021916
2003-03-10,2003-03-07,0.041943599999999984,0.0419436,0.0024959243999999993,-0.009237937799999995,0.0,0.03944767559999998,0.0,shanghai,shanghai|gold,0.001295033807802592,0.0030349116962688537,-0.002306045696066847
2003-04-30,2003-04-29,0.2798863,-0.27988630000000003,-0.15399066960000002,0.057745918050000004,0.0,0.0,0.2798851339,nasdaq,nasdaq|gold,0.002564867277034976,0.0171548948124803,0.031103530632409185
2003-05-27,2003-05-26,0.0806045705,-0.08060457050000003,-0.0019951730999999973,0.01965234935,0.0,0.0,0.0806045705,gold,gold|nasdaq,-0.0013419642785337557,-0.005378814200533935,-0.0019094606997198836
2003-06-09,2003-06-06,0.40354892950000004,-0.4035489295,-0.2116193949,0.10088712530000002,0.0,0.0,0.4035485012000001,gold,gold|nasdaq,0.00253781330918782,0.003897138167499139,0.030378337585825737
2003-08-19,2003-08-18,0.7084946771,-1.000000082740371e-10,-0.35424733859999996,0.011698874787500008,0.0,0.35424733850000006,0.031196999400000036,nasdaq,nasdaq|gold,-0.013196078776339527,-0.008170489332386791,-0.01614349348306501
2003-09-05,2003-09-04,0.19176512829999998,0.14330768410000005,0.05741009149999998,-0.008295342350000005,0.0,0.0816388136,0.02422872209999999,nasdaq,nasdaq|sp500,-0.0014253086736803547,-0.0005332241229326858,-0.007993206104022134
2003-11-11,2003-11-10,0.143307684,-0.14330768400000005,-0.11216244790000007,0.04367571237499999,0.0,0.0,0.10292404279999998,nasdaq,nasdaq|gold,-0.003043252914783994,-0.00023958480008721278,0.005726865930809789
2003-11-12,2003-11-11,0.35191629139999997,0.0,0.09855438480000012,-0.06334047665,0.1759581457,0.1759581457,0.0985543848,nasdaq,nasdaq|gold,0.001677177482929512,0.005143481430654366,-0.0035913630064496487
2004-02-05,2004-02-04,0.39719100609999997,0.3277337089,0.20721369529999994,0.01719830480000001,0.08645544299999997,0.20721369529999994,0.0,sp500,sp500|nasdaq,-0.015708009861794634,-0.00659284473550727,0.0010059449566562186
2004-02-19,2004-02-18,0.6722662911,0.6722662911,0.4769006838,-0.028027030100000003,0.2727450791,0.4769006838,0.0,sp500,sp500|nasdaq,0.0015343571021224104,0.0068126501677909694,0.03367870674240766
2004-04-29,2004-04-28,0.5146763296,-0.5146763296,-0.3314933296,0.1282774148,0.0,0.0,0.3314933296,sp500,sp500|nasdaq,-0.008494759187867554,-0.002192491525781409,-0.010949255347269825
2004-06-08,2004-06-07,0.09130368720000002,0.09130368719999998,0.019404359699999985,-0.007276634887500005,0.00979965000000002,0.019404359700000012,0.0,nasdaq,nasdaq|sp500,-0.00020218731706277658,-0.0007460599566220917,-0.0033094588034970063
2004-06-10,2004-06-09,0.18595105350000005,-0.18595105350000002,-0.17667741410000004,0.06625403028750002,0.0,0.0,0.17667741410000004,nasdaq,nasdaq|sp500,-0.0024205031370737253,-0.005815546693289093,-0.005306623615572416
2004-06-28,2004-06-25,0.14623768699999995,-0.14623768699999995,-0.1173039321999999,0.04883425554999998,0.0,0.0,0.11730393219999996,sp500,sp500|nasdaq,-0.0024191569523241553,-0.009169779529610976,-0.004108862054132354
2004-07-05,2004-07-02,0.3321887405,0.33218874049999997,0.29398134629999995,-0.128208346975,0.2311593451,0.2693667393,0.0,sp500,sp500|gold,0.00014217603567213575,0.005080969341243934,0.0046533647235940424
2004-07-22,2004-07-21,0.23116801120000002,-0.0969989476,0.04887678230000003,0.029546699287500013,0.0,0.0670845318,0.14587572990000003,gold,gold|sp500,-0.005650260251964962,0.0017156229299421337,0.005867093518139477
2004-09-08,2004-09-07,0.11448174979999999,-0.11448174980000003,-0.057906681299999985,0.029872135462499998,0.0,0.0,0.0796590279,gold,gold|sp500,0.0005437281529057315,0.00431646213507633,0.013495824660858463
2004-09-10,2004-09-09,0.4726883086,-0.07942013159999994,0.19663408849999997,0.055516189724999984,0.0,0.1280110475,0.27605422009999997,gold,gold|sp500,-0.0033800314147903144,0.008878701800792362,0.015362275775267237
2004-12-07,2004-12-06,0.11456280700000002,0.09747707220000001,-0.008542867400000015,-0.051942111375,0.1060199396,0.1060199396,0.008542867400000015,gold,gold|nasdaq,0.0027533833942431515,0.004277908486326922,0.0030980260213839482
2005-03-31,2005-03-30,0.5580674679,0.27585333049999994,-0.0980056209,-0.08189427503749999,0.3738589514,0.3738589514,0.1411070687,gold,gold|sp500,-0.003107591012037913,-0.012032536820570034,-0.016335209921044813
2005-05-24,2005-05-23,0.4325138125,-0.4325138125,-0.33105953650000003,0.108128453125,0.0,0.0,0.30226232,gold,gold|nasdaq,-0.004470488931566338,0.005658869628312754,0.002926606762380578
2005-06-08,2005-06-07,0.18562965140000004,-0.18562965139999998,-0.13490227320000003,0.04640741285000001,0.0,0.0,0.12050359680000006,gold,gold|nasdaq,-0.0002750714831268196,-0.0017908541005861433,-0.0004653703948230036
2005-06-09,2005-06-08,0.5963294533000001,0.5963294533,0.4068505391000001,-0.101712634775,0.21378622260000002,0.4068505391,0.0,nasdaq,nasdaq|sp500,-0.014493910407858997,-0.00523884645949505,-0.011439657041191289
