group,horizon,n,mean_edge,t,p,win_rate
derisk_sell_top1,5,47,-0.002318166570790309,-1.9230246104735336,0.054476959173524894,0.3404255319148936
derisk_sell_top1,20,47,-0.00041413330755622556,-0.1709231205718553,0.8642842165907137,0.40425531914893614
derisk_sell_top1,60,46,-0.0015794474411624543,-0.5071991496165076,0.6120150916371816,0.45652173913043476
derisk_sell_top2,5,63,-0.0032430263213852335,-3.153994218706538,0.0016105227627361,0.2698412698412698
derisk_sell_top2,20,63,-0.0022663422792894975,-0.9835080404130014,0.32535746003226607,0.38095238095238093
derisk_sell_top2,60,62,-0.003976426701801486,-1.337609097125242,0.18102389738650412,0.43548387096774194
derisk_sell_top2_large,5,48,-0.0034255987228057265,-2.5808290466628674,0.009856337661414048,0.3333333333333333
derisk_sell_top2_large,20,48,-0.001693466740457882,-0.5748001989173492,0.5654264322092883,0.3958333333333333
derisk_sell_top2_large,60,47,-0.002863021990229178,-0.7699221376823785,0.4413460811798673,0.44680851063829785
derisk_no_top2_sale,5,14,nan,nan,nan,0.2857142857142857
derisk_no_top2_sale,20,14,nan,nan,nan,0.42857142857142855
derisk_no_top2_sale,60,14,nan,nan,nan,0.42857142857142855
us_derisk_sell_top2,5,42,-0.0037217934718853083,-2.6870546276112126,0.007208516246839281,0.2857142857142857
us_derisk_sell_top2,20,42,-0.00277023804875469,-0.9286268208074534,0.35308251720050604,0.38095238095238093
us_derisk_sell_top2,60,41,-0.003242000174916641,-0.7731738648084608,0.43941949120357177,0.4634146341463415
non_us_derisk_sell_top2,5,21,nan,nan,nan,0.23809523809523808
non_us_derisk_sell_top2,20,21,nan,nan,nan,0.38095238095238093
non_us_derisk_sell_top2,60,21,nan,nan,nan,0.38095238095238093
