series_id,reference_month,release_date,initial_value,source,vintage_id,snapshot_sha256
UNRATE,1999-12,2000-01-07,4.1,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-01-07,2000-01-07,f997ae62d77f3edddc02c9329f521995e175ca8c89076699eafbc9fb7f6fdcb3
UNRATE,2000-01,2000-02-04,4.0,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-02-04,2000-02-04,60d3b39b902988eeedbb00c0237b0478789960b3af81432ac1600600028f4115
UNRATE,2000-02,2000-03-03,4.1,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-03-03,2000-03-03,e613e52834f6d607b94acc99b5ca7bc4620f356491cba0c2a218330e91525847
UNRATE,2000-03,2000-04-07,4.1,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-04-07,2000-04-07,69b770925c56887a3dc8e3234b83bded64b93f7fc6a16a007a3f2681944dc6da
UNRATE,2000-04,2000-05-05,3.9,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-05-05,2000-05-05,8d90b40676e36f1295d76d29ed09364cafa642fad2fb9a4c4168bb3862ca464d
UNRATE,2000-05,2000-06-02,4.1,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-06-02,2000-06-02,1e1bddd832114e65a9725f976d5128adf99f3bec3a599ac0f8a4182542fa2561
UNRATE,2000-06,2000-07-07,4.0,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-07-07,2000-07-07,6132ac4aeb4ad731580ad780cdab174991e0d1d8bc6a85ba81a297d592c01cf3
UNRATE,2000-07,2000-08-04,4.0,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-08-04,2000-08-04,a6bbde9b3b4801d96792d17870c5bed8f5fcd9d996656327ec87753a908de6d7
UNRATE,2000-08,2000-09-01,4.1,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-09-01,2000-09-01,7c1e358b172ddee38be19cbf9330623723498c69215b4b5b0230fb80e4956bae
UNRATE,2000-09,2000-10-06,3.9,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-10-06,2000-10-06,662382759a6f077378fb2bce101dbd897b2adbe12eb6d80aad511c1be025e54f
UNRATE,2000-10,2000-11-03,3.9,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-11-03,2000-11-03,ad7294ff831370157296363388ad6fb9bf8c02dcf2ccb889b68461b2018d285f
UNRATE,2000-11,2000-12-08,4.0,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2000-12-08,2000-12-08,7e8746f1ebe6e279516fc5f895f851fe951453f57b4d39a0efb593a21e28abee
UNRATE,2000-12,2001-01-05,4.0,https://alfred.stlouisfed.org/graph/alfredgraph.csv?id=UNRATE&cosd=1999-12-01&vintage_date=2001-01-05,2001-01-05,2a367bc8d43086b006601c9fe572032fe575ef9f9a586ff6ac50f5cc30d2e353
